"role_id","permission_id","id"
16,804,5653
16,805,5654
16,806,5655
16,807,5656
16,812,5657
16,814,5658
27,783,6507
27,784,6508
27,785,6509
27,791,6510
27,840,6511
11,2,93551
11,3,93552
11,179,93553
11,6,93554
11,42,93555
11,50,93556
11,18,93557
11,17,93558
11,16,93559
11,19,93560
11,20,93561
42,1,23654
42,2,23655
42,3,23656
42,179,23657
42,792,23658
42,955,23659
42,962,23660
42,1001,23661
42,1002,23662
11,37,93562
11,36,93563
11,180,93564
11,203,93565
11,204,93566
11,781,93567
11,793,93568
11,794,93569
11,989,93570
11,993,93571
11,1009,93572
11,1014,93573
11,1018,93574
11,1031,93575
11,1063,93576
11,23,93577
4,2,109
4,7,110
4,8,111
4,15,112
4,179,113
11,26,93578
42,22,23663
11,61,93579
11,62,93580
11,193,93581
11,192,93582
11,194,93583
11,195,93584
11,176,93585
11,167,93586
11,147,93587
11,149,93588
11,776,93589
11,777,93590
8,2,146
8,3,147
8,4,148
8,5,149
8,6,150
8,7,151
8,8,152
8,9,153
8,10,154
8,11,155
8,12,156
8,13,157
11,1054,93591
11,150,93592
11,151,93593
11,152,93594
11,153,93595
11,156,93596
11,780,93597
11,779,93598
11,1053,93599
11,159,93600
11,165,93601
11,206,93602
8,14,158
8,15,159
8,16,160
8,17,161
8,18,162
8,19,163
8,20,164
8,21,165
8,24,166
8,27,167
8,28,168
8,29,169
8,30,170
8,31,171
8,32,172
8,33,173
8,34,174
8,35,175
8,36,176
8,37,177
8,38,178
8,39,179
8,40,180
8,41,181
11,773,93603
8,43,183
8,44,184
8,45,185
8,46,186
8,49,187
8,50,188
8,179,189
9,2,190
9,7,191
9,8,192
9,15,193
9,24,194
9,179,195
10,2,196
10,3,197
10,7,198
10,8,199
10,15,200
10,179,201
12,2,202
12,3,203
12,7,204
12,8,205
12,9,206
12,15,207
12,49,208
12,179,209
42,180,23664
42,181,23665
42,182,23666
30,918,15627
30,920,15628
30,921,15629
42,183,23667
42,203,23668
42,204,23669
42,781,23670
42,988,23671
42,989,23672
42,990,23673
42,991,23674
42,992,23675
42,993,23676
42,1009,23677
11,774,93604
42,23,23679
42,26,23680
42,61,23681
42,62,23682
42,146,23683
42,147,23684
42,148,23685
42,149,23686
42,775,23687
42,776,23688
42,777,23689
42,150,23690
42,151,23691
