"role_name","description","is_default","can_delete","login_destination","deleted","default_context","role_id"
Pengelola KPO Instansi                                      ,"",0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,16
Pengelola KPO Satker                                        ,"",0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,14
Pengelola KPO Sekretariat                                   ,"",0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,17
Pengelola KGB Instansi                                      ,"",0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,19
Pengelola KGB Satker                                        ,"",0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,18
Pengelola PPO Sekretariat                                   ,"",0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,21
admin_satker                                                ,admin satuan kerja sesuai unor pegawai,0,0,admin/kepegawaian/pegawai/profilen                                                                                                                                                                                                                             ,0,content                                                                                                                                                                                                                                                        ,6
Pegawai                                                     ,pegawai,0,1,admin/content                                                                                                                                                                                                                                                  ,0,content                                                                                                                                                                                                                                                        ,2
pegawai_update                                              ,"",0,1,admin/kepegawaian/pegawai/profilen                                                                                                                                                                                                                             ,0,content                                                                                                                                                                                                                                                        ,7
admin_bagian                                                ,Admin Kementerian,0,1,admin/kepegawaian/pegawai/profilen                                                                                                                                                                                                                             ,0,content                                                                                                                                                                                                                                                        ,11
Pengelola PPO Satker                                        ,"",0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,20
pemroses_mutasi                                             ,Role untuk pemroses mutasi.,0,1,admin/content                                                                                                                                                                                                                                                  ,0,content                                                                                                                                                                                                                                                        ,23
pengelola_pindah_sestama                                    ,Role Untuk user sekretariat utama untuk pengelolaan module pindah antar unit kerja,0,1,admin/content                                                                                                                                                                                                                                                  ,0,content                                                                                                                                                                                                                                                        ,28
pengelola_pindah_satker                                     ,Role untuk Pengelola Pindah antar unit untuk satker,0,0,admin/content                                                                                                                                                                                                                                                  ,0,content                                                                                                                                                                                                                                                        ,27
SatkerTerbatas                                              ,"Role dimana list pada pilihan satkernya terbatas, tergantung satker yang telah di tentukan pada setting users",0,1,admin/content                                                                                                                                                                                                                                                  ,0,content                                                                                                                                                                                                                                                        ,31
pimpinansatker                                              ,Role untuk pimpinan satker,0,1,admin/content                                                                                                                                                                                                                                                  ,0,content                                                                                                                                                                                                                                                        ,29
admin_sekretariat                                           ,"",0,1,admin/kepegawaian/pegawai/profilen                                                                                                                                                                                                                             ,0,content                                                                                                                                                                                                                                                        ,26
KorektorSk                                                  ,Role Untuk Korektor SK,0,1,admin/content                                                                                                                                                                                                                                                  ,0,content                                                                                                                                                                                                                                                        ,30
admin kementerian                                           ,"",1,1,admin/content                                                                                                                                                                                                                                                  ,0,content                                                                                                                                                                                                                                                        ,25
PKL                                                         ,untuk anak PKL,0,1,admin/content                                                                                                                                                                                                                                                  ,0,content                                                                                                                                                                                                                                                        ,24
penandatanganPAKPTP                                         ,Pejabat Penandatangan PAK fungsional PTP,0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,34
Pengelola PPO Instansi                                      ,"",0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,22
pemroses_CPNS                                               ,untuk cetak SK dan nota usul,0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,39
Pegawai-KDR                                                 ,uji coba role untuk akses BDR,0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,37
PenandatanganSK                                             ,Pejabat Penandatangan SK Elektronik,0,1,admin/content                                                                                                                                                                                                                                                  ,0,content                                                                                                                                                                                                                                                        ,36
mendikbud                                                   ,"",0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,35
dashboard_only                                              ,cuma bisa lihat dashboard 1 kementerian,0,1,                                                                                                                                                                                                                                                               ,0,content                                                                                                                                                                                                                                                        ,38
admincutipusat                                              ,Role untuk admin cuti pusat,0,1,admin/content                                                                                                                                                                                                                                                  ,0,content                                                                                                                                                                                                                                                        ,32
admincutisatker                                             ,Role untuk admin cuti level satker,0,1,admin/content                                                                                                                                                                                                                                                  ,0,content                                                                                                                                                                                                                                                        ,33
